Country,Year,Status,Life expectancy ,Adult Mortality,infant deaths,Alcohol,percentage expenditure,Hepatitis B,Measles , BMI ,under-five deaths ,Polio,Total expenditure,Diphtheria , HIV/AIDS,GDP,Population, thinness  1-19 years, thinness 5-9 years,Income composition of resources,Schooling
Angola,2005,Developing,47.4,382,92,5.04,98.19145117,,258,17.7,148,39,4.1,38,2.6,1443.991929,19552542.0,1.0,9.9,0.426,6.8
Angola,2004,Developing,47.1,386,94,3.53,8.8667775,,29,17.2,152,4,4.71,4,2.5,141.86844,18865716.0,1.2,1.1,0.415,6.4
Angola,2003,Developing,46.8,388,95,3.49,35.93349121,,1196,16.8,155,4,4.41,4,2.4,779.468356,1823369.0,1.4,1.3,0.406,5.9
Angola,2002,Developing,46.5,391,96,2.82,24.037942,,11945,16.3,157,37,3.63,41,2.3,711.181716,17572649.0,1.5,1.5,0.401,5.5
Angola,2001,Developing,45.7,44,97,2.58,30.35993647,,9046,15.8,159,41,5.38,38,2.1,526.168743,16983266.0,1.7,1.7,0.391,5.1
Angola,2000,Developing,45.3,48,97,1.85,15.88149254,,2219,15.4,160,3,2.79,28,2.0,555.2969419,1644924.0,1.9,1.9,0.382,4.6
Antigua and Barbuda,2015,Developing,76.4,13,0,,0.0,99.0,0,47.7,0,86,,99,0.2,13566.9541,,3.3,3.3,0.784,13.9
Antigua and Barbuda,2014,Developing,76.2,131,0,8.56,2422.999774,99.0,0,47.0,0,96,5.54,99,0.2,12888.29667,,3.3,3.3,0.782,13.9
Antigua and Barbuda,2013,Developing,76.1,133,0,8.58,1991.430372,99.0,0,46.4,0,98,5.33,99,0.2,12224.86416,,3.3,3.3,0.781,13.9
Antigua and Barbuda,2012,Developing,75.9,134,0,8.18,2156.229842,98.0,0,45.7,0,97,5.39,98,0.2,12565.44197,,3.3,3.3,0.778,13.8
Antigua and Barbuda,2011,Developing,75.7,136,0,7.84,1810.875316,99.0,0,45.1,0,99,5.65,99,0.1,11929.34991,,3.3,3.3,0.782,14.1
Antigua and Barbuda,2010,Developing,75.6,138,0,7.84,1983.956937,98.0,0,44.4,0,99,5.63,98,0.1,12126.87614,,3.3,3.3,0.783,14.1
Antigua and Barbuda,2009,Developing,75.4,14,0,7.82,149.3587355,98.0,0,43.8,0,98,4.86,99,0.1,1312.46692,,3.4,3.3,0.788,14.2
Antigua and Barbuda,2008,Developing,75.2,142,0,8.27,180.7762695,98.0,0,43.2,0,99,4.69,99,0.1,1473.31923,,3.4,3.3,0.786,14.4
Antigua and Barbuda,2007,Developing,75.0,144,0,8.64,257.9665308,97.0,0,42.6,0,98,4.27,99,0.1,14252.29452,,3.4,3.3,0.781,14.5
Antigua and Barbuda,2006,Developing,74.8,145,0,8.93,216.3146941,99.0,0,42.0,0,99,4.34,99,0.1,12724.39377,,3.4,3.4,0.773,14.7
Antigua and Barbuda,2005,Developing,74.6,147,0,8.15,1455.608186,99.0,0,41.4,0,98,4.41,99,0.1,11371.93895,,3.5,3.4,0.0,0.0
Antigua and Barbuda,2004,Developing,74.4,149,0,7.28,22.86295206,97.0,0,4.8,0,97,4.21,97,0.1,1352.8374,,3.5,3.4,0.0,0.0
Antigua and Barbuda,2003,Developing,74.2,151,0,7.16,1158.065259,99.0,0,4.1,0,99,4.53,99,0.1,9739.82556,,3.5,3.5,0.0,0.0
Antigua and Barbuda,2002,Developing,74.0,153,0,7.21,927.4075855,99.0,0,39.5,0,93,4.41,98,0.1,9386.716452,,3.6,3.5,0.0,0.0
Antigua and Barbuda,2001,Developing,73.8,154,0,7.51,163.7676978,96.0,0,38.9,0,99,4.48,97,0.1,9358.154162,,3.6,3.5,0.0,0.0
Antigua and Barbuda,2000,Developing,73.6,156,0,7.27,1127.74347,,0,38.2,0,96,4.13,95,0.1,9875.161736,,3.7,3.6,0.0,0.0
Argentina,2015,Developing,76.3,116,8,,0.0,94.0,0,62.8,9,93,,94,0.1,13467.1236,43417765.0,1.0,0.9,0.826,17.3
Argentina,2014,Developing,76.2,118,8,7.93,847.3717463,94.0,1,62.2,9,92,4.79,94,0.1,12245.25645,42981515.0,1.0,0.9,0.825,17.3
Argentina,2013,Developing,76.0,119,8,8.28,1001.796332,94.0,0,61.6,10,99,4.99,94,0.1,12976.63642,42539925.0,1.0,0.9,0.823,17.3
Argentina,2012,Developing,75.9,12,9,8.35,1133.558003,91.0,2,61.0,10,99,5.2,91,0.1,12969.7712,4296739.0,1.0,0.9,0.822,17.2
Argentina,2011,Developing,75.7,12,9,8.11,1504.329462,91.0,3,6.4,10,93,5.89,91,0.1,12726.9836,41656879.0,1.0,0.9,0.816,17.1
Argentina,2010,Developing,75.5,121,10,8.15,187.610955,94.0,17,59.8,11,95,6.55,94,0.1,1276.265,41223889.0,1.0,0.9,0.802,16.8
Argentina,2009,Developing,75.6,126,10,8.33,1398.042623,94.0,3,59.2,11,97,7.63,94,0.1,8161.36966,479947.0,1.0,0.9,0.794,16.5
Argentina,2008,Developing,75.4,126,10,8.41,1413.73543,9.0,0,58.6,11,94,6.66,93,0.1,8953.359275,4382389.0,1.0,0.9,0.792,16.3
Argentina,2007,Developing,74.8,129,10,8.16,1105.659031,85.0,0,58.0,12,92,6.49,91,0.1,7193.61764,3997224.0,1.1,0.9,0.788,16.3
Argentina,2006,Developing,75.2,127,11,7.75,961.1774676,84.0,0,57.5,12,92,6.68,91,0.1,5878.76127,3955889.0,1.1,0.9,0.782,16.1
Argentina,2005,Developing,74.9,127,11,7.53,96.16653429,88.0,0,56.9,12,95,6.85,98,0.1,576.883829,39145488.0,1.1,1.0,0.78,16.3
Argentina,2004,Developing,74.7,13,11,7.63,719.3663797,81.0,0,56.3,12,91,6.84,98,0.1,4251.574348,38728696.0,1.1,1.0,0.775,16.3
Argentina,2003,Developing,74.1,137,11,7.62,57.58467352,73.0,0,55.7,13,95,8.22,96,0.1,333.4376,3839379.0,1.2,1.0,0.77,16.4
Argentina,2002,Developing,74.1,138,12,7.81,470.1869145,66.0,0,55.1,13,94,8.31,93,0.1,2579.193168,3788937.0,1.2,1.0,0.776,16.3
Argentina,2001,Developing,74.0,138,12,7.76,123.0128671,,0,54.6,13,85,9.38,83,0.1,717.694674,3747159.0,1.2,1.1,0.771,15.6
Argentina,2000,Developing,74.1,137,12,7.68,1349.025282,,6,54.0,14,88,9.21,83,0.1,7669.273916,3757452.0,1.2,1.1,0.764,15.0
Armenia,2015,Developing,74.8,118,1,,0.0,94.0,33,54.9,1,96,,94,0.1,369.654776,291695.0,2.1,2.2,0.741,12.7
Armenia,2014,Developing,74.6,12,1,3.91,295.6087143,93.0,13,54.1,1,95,4.48,93,0.1,3994.712355,29622.0,2.1,2.1,0.739,12.7
Armenia,2013,Developing,74.4,123,1,3.79,279.4290812,95.0,10,53.3,1,96,4.55,95,0.1,3843.591213,289359.0,2.1,2.1,0.736,12.7
Armenia,2012,Developing,74.4,121,1,3.89,274.1526986,95.0,0,52.6,1,96,4.48,95,0.1,3684.8481,2881922.0,2.0,2.1,0.732,12.7
