ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1,Segmentation
460593,Female,Yes,28,No,Healthcare,1.0,Average,5.0,Cat_3,D
465891,Female,Yes,28,Yes,Artist,8.0,Low,2.0,Cat_6,A
467442,Male,Yes,56,Yes,Artist,,Average,2.0,Cat_6,C
462044,Female,No,47,Yes,Artist,4.0,Low,1.0,Cat_6,B
465686,Female,No,22,No,Healthcare,0.0,Low,2.0,Cat_6,D
464590,Female,No,27,Yes,Artist,14.0,Low,3.0,Cat_6,A
466006,Female,Yes,49,Yes,Artist,1.0,Low,2.0,,C
466152,Male,Yes,40,No,Engineer,8.0,Low,1.0,Cat_6,A
463156,Female,Yes,79,No,Lawyer,,High,2.0,Cat_6,A
465729,Male,Yes,41,Yes,Artist,0.0,Average,4.0,Cat_4,B
462384,Female,No,29,Yes,Healthcare,,Low,1.0,Cat_7,A
462442,Male,No,19,No,Healthcare,0.0,Low,4.0,Cat_6,D
464191,Female,No,45,Yes,Engineer,1.0,Low,1.0,Cat_6,A
462078,Female,Yes,61,No,Artist,1.0,Average,2.0,Cat_2,B
467873,Female,Yes,36,Yes,Artist,1.0,Average,2.0,Cat_6,C
461270,Male,Yes,40,Yes,Artist,1.0,Low,1.0,Cat_3,A
462960,Female,Yes,57,Yes,Entertainment,0.0,Average,2.0,Cat_6,C
464961,Male,Yes,76,No,Marketing,1.0,Low,1.0,Cat_4,A
462110,Male,Yes,32,Yes,Artist,14.0,Average,2.0,Cat_6,B
465769,Male,No,25,Yes,Healthcare,9.0,Low,4.0,Cat_6,D
462267,Male,No,32,,Doctor,8.0,Low,2.0,Cat_6,D
465269,Female,Yes,45,Yes,Artist,1.0,Average,3.0,Cat_3,C
460881,Male,Yes,72,Yes,Lawyer,1.0,Low,,Cat_4,D
461891,Male,Yes,48,Yes,Artist,0.0,Average,2.0,Cat_6,C
466935,Male,Yes,55,Yes,Artist,9.0,Average,2.0,Cat_1,C
464091,Male,Yes,74,Yes,Lawyer,0.0,High,3.0,Cat_6,D
464535,Male,Yes,56,Yes,Lawyer,1.0,High,2.0,Cat_6,A
463108,Male,Yes,59,Yes,Lawyer,7.0,High,2.0,Cat_6,A
461356,Male,No,25,Yes,Entertainment,0.0,Low,2.0,Cat_6,A
464570,Male,Yes,31,Yes,Doctor,0.0,Average,2.0,Cat_6,A
464580,Male,No,27,No,Artist,8.0,Low,4.0,Cat_6,A
465233,Male,Yes,57,Yes,Artist,0.0,Average,4.0,Cat_6,B
467208,Female,Yes,39,Yes,Homemaker,,High,2.0,Cat_6,A
459954,Male,Yes,27,Yes,Healthcare,8.0,Low,2.0,Cat_6,D
460219,Female,Yes,51,Yes,Entertainment,8.0,Average,2.0,Cat_6,A
460877,Female,Yes,47,No,Artist,0.0,Average,5.0,Cat_6,B
460191,Female,No,33,No,Healthcare,8.0,Low,4.0,Cat_6,D
463742,Male,Yes,56,Yes,Artist,0.0,Average,4.0,Cat_6,C
463691,Female,No,33,No,Homemaker,0.0,Low,3.0,Cat_6,B
463250,Female,No,36,Yes,Doctor,0.0,Low,2.0,Cat_6,D
463952,Male,Yes,51,No,Artist,4.0,Low,3.0,Cat_4,A
461558,Male,Yes,45,Yes,Engineer,2.0,Average,2.0,Cat_6,C
466567,Female,No,49,Yes,,1.0,Low,1.0,Cat_6,D
465379,Male,No,30,No,Healthcare,0.0,Low,4.0,Cat_6,C
463814,Female,No,26,No,Healthcare,6.0,Low,3.0,Cat_5,D
466938,Male,Yes,63,Yes,Artist,8.0,Low,1.0,Cat_6,A
460671,Male,Yes,35,No,Entertainment,8.0,Average,4.0,Cat_3,B
462204,Female,No,19,No,Marketing,1.0,Low,3.0,Cat_4,A
461671,Male,No,32,No,Healthcare,7.0,Low,5.0,Cat_6,D
459384,Male,Yes,52,Yes,Artist,0.0,Average,3.0,Cat_6,C
459905,Female,Yes,36,Yes,Artist,5.0,Low,2.0,Cat_6,C
464734,Female,No,42,No,Entertainment,7.0,Low,3.0,Cat_4,D
464125,Male,Yes,40,No,Doctor,0.0,Average,2.0,Cat_3,D
467434,Male,No,39,Yes,Entertainment,0.0,Low,3.0,Cat_1,B
460956,Female,Yes,47,Yes,Artist,1.0,Average,4.0,Cat_3,C
465179,Female,Yes,61,Yes,Artist,1.0,High,2.0,Cat_6,C
463338,Male,Yes,32,No,Entertainment,1.0,Low,2.0,Cat_3,D
467066,Male,Yes,55,No,Artist,0.0,Low,1.0,Cat_6,B
463845,Male,Yes,58,Yes,Artist,,Average,1.0,Cat_6,D
459976,Female,No,38,Yes,Artist,0.0,Low,1.0,Cat_6,D
461334,Male,Yes,63,Yes,Artist,0.0,High,2.0,Cat_6,C
465108,Male,Yes,58,Yes,Doctor,1.0,Average,2.0,Cat_6,C
462600,Male,Yes,30,No,Engineer,3.0,Average,3.0,Cat_4,D
